frame,time_s,ego_x_m,ego_y_m,golf_cart_x_m,golf_cart_y_m
0,0.0,-38.75279189862588,-1.7144580949773808e-15,-22.707918838761156,-3.794797261237142
1,0.03333333333333333,-38.664179730217974,-0.01583034260351278,-22.612767111321265,-3.78603149329539
2,0.06666666666666667,-38.590392284911985,-0.07546906093113497,-22.521267357725243,-3.82510335529267
3,0.1,-38.499606093403365,-0.09569572934887796,-22.4237388262443,-3.8155090509208094
4,0.13333333333333333,-38.35030996124195,-0.12314824725406416,-22.2545449775876,-3.81615748873705
5,0.16666666666666666,-38.249856775029265,-0.15246372381229345,-22.136645055181138,-3.816329642701268
6,0.2,-38.20586223011404,-0.18213282493347244,-22.04501477780506,-3.819391526331127
7,0.23333333333333334,-38.189560892938815,-0.21455550272752286,-21.997595104272257,-3.8188009129875784
8,0.26666666666666666,-38.031647253079925,-0.2478234141609818,-21.83233545067667,-3.809852250457906
9,0.3,-37.903201816098225,-0.28478297846530887,-21.686224664484374,-3.801882605700569
10,0.3333333333333333,-37.783295937394165,-0.3232774132883904,-21.56850051632772,-3.7921990088654796
11,0.36666666666666664,-37.68232852537051,-0.36178160335350856,-21.46883293333713,-3.7801680548809693
12,0.4,-37.68295642223708,-0.39905488121795984,-21.44209677682079,-3.7719637335586875
13,0.43333333333333335,-37.71274968852717,-0.43404653595908194,-21.46121160971667,-3.7591222534752173
14,0.4666666666666667,-37.737258224719625,-0.46814754833807826,-21.445056268795685,-3.751700692782215
15,0.5,-37.64985325539293,-0.5039514314912104,-21.32483547129202,-3.7450656474532558
16,0.5333333333333333,-37.56644456526564,-0.5395377046477267,-21.215952685287455,-3.739410473416393
17,0.5666666666666667,-37.4808622311247,-0.532992521215145,-21.148584409697357,-3.678058584298749
18,0.6,-37.42524192622992,-0.5714014981029379,-21.097690459700303,-3.6679043859593
19,0.6333333333333333,-37.52918285139978,-0.6064211389367098,-21.191470746841343,-3.6532634137420463
