frame,x,y,width,height,tracking_valid
0,635.0,585.0,160.0,180.0,1
1,632.0,583.0,163.0,184.0,1
2,627.0,580.0,170.0,191.0,1
3,627.0,581.0,166.0,187.0,1
4,627.0,585.0,160.0,180.0,1
5,623.0,586.0,157.0,176.0,1
6,619.0,587.0,154.0,173.0,1
7,617.0,588.0,151.0,170.0,1
8,606.0,586.0,157.0,176.0,1
9,607.0,587.0,157.0,176.0,1
10,595.0,583.0,166.0,187.0,1
11,591.0,579.0,173.0,195.0,1
12,589.0,580.0,173.0,195.0,1
13,584.0,580.0,173.0,195.0,1
14,579.0,580.0,173.0,195.0,1
15,571.0,574.0,184.0,207.0,1
16,567.0,576.0,180.0,203.0,1
17,564.0,576.0,180.0,203.0,1
18,559.0,572.0,184.0,207.0,1
19,556.0,575.0,180.0,203.0,1
20,551.0,574.0,184.0,207.0,1
21,547.0,576.0,180.0,203.0,1
22,544.0,575.0,180.0,203.0,1
23,540.0,576.0,180.0,203.0,1
24,536.0,576.0,180.0,203.0,1
25,531.0,575.0,180.0,203.0,1
26,527.0,575.0,180.0,203.0,1
27,523.0,574.0,180.0,203.0,1
28,519.0,574.0,180.0,203.0,1
29,516.0,574.0,180.0,203.0,1
30,511.0,575.0,180.0,203.0,1
31,507.0,575.0,180.0,203.0,1
32,502.0,577.0,180.0,203.0,1
33,497.0,577.0,180.0,203.0,1
34,494.0,578.0,180.0,203.0,1
35,489.0,578.0,184.0,207.0,1
36,483.0,578.0,184.0,207.0,1
37,480.0,582.0,180.0,203.0,1
38,475.0,579.0,184.0,207.0,1
39,471.0,579.0,184.0,207.0,1
40,468.0,578.0,184.0,207.0,1
41,465.0,576.0,184.0,207.0,1
42,461.0,575.0,184.0,207.0,1
43,457.0,573.0,184.0,207.0,1
44,453.0,572.0,184.0,207.0,1
45,448.0,571.0,184.0,207.0,1
46,443.0,571.0,184.0,207.0,1
47,439.0,572.0,184.0,207.0,1
48,436.0,572.0,184.0,207.0,1
49,431.0,573.0,184.0,207.0,1
50,428.0,574.0,184.0,207.0,1
51,425.0,574.0,184.0,207.0,1
52,420.0,572.0,187.0,211.0,1
53,416.0,572.0,187.0,211.0,1
54,412.0,571.0,187.0,211.0,1
55,411.0,573.0,184.0,207.0,1
56,403.0,571.0,187.0,211.0,1
57,401.0,571.0,187.0,211.0,1
58,398.0,571.0,187.0,211.0,1
59,393.0,570.0,187.0,211.0,1
60,389.0,570.0,187.0,211.0,1
61,384.0,569.0,191.0,215.0,1
62,380.0,568.0,191.0,215.0,1
63,377.0,570.0,191.0,215.0,1
64,374.0,570.0,191.0,215.0,1
65,370.0,572.0,191.0,215.0,1
66,367.0,573.0,191.0,215.0,1
67,364.0,574.0,191.0,215.0,1
68,361.0,575.0,191.0,215.0,1
69,358.0,577.0,191.0,215.0,1
70,353.0,575.0,195.0,219.0,1
71,351.0,576.0,195.0,219.0,1
72,348.0,577.0,195.0,219.0,1
73,346.0,577.0,195.0,219.0,1
74,341.0,575.0,199.0,224.0,1
75,339.0,575.0,199.0,224.0,1
76,337.0,575.0,199.0,224.0,1
77,336.0,574.0,199.0,224.0,1
78,336.0,574.0,199.0,224.0,1
79,337.0,575.0,199.0,224.0,1
80,335.0,573.0,203.0,228.0,1
81,338.0,575.0,199.0,224.0,1
82,341.0,575.0,199.0,224.0,1
83,343.0,576.0,199.0,224.0,1
84,345.0,577.0,199.0,224.0,1
85,347.0,576.0,203.0,228.0,1
86,350.0,578.0,203.0,228.0,1
87,354.0,580.0,203.0,228.0,1
88,358.0,581.0,203.0,228.0,1
89,362.0,582.0,203.0,228.0,1
90,365.0,580.0,207.0,233.0,1
91,372.0,581.0,207.0,233.0,1
92,376.0,581.0,207.0,233.0,1
93,378.0,579.0,211.0,238.0,1
94,383.0,579.0,211.0,238.0,1
95,387.0,579.0,211.0,238.0,1
96,391.0,579.0,211.0,238.0,1
97,397.0,578.0,211.0,238.0,1
98,402.0,578.0,211.0,238.0,1
99,407.0,578.0,211.0,238.0,1
100,411.0,578.0,211.0,238.0,1
101,417.0,577.0,211.0,238.0,1
102,419.0,574.0,215.0,242.0,1
103,426.0,573.0,215.0,242.0,1
104,431.0,573.0,215.0,242.0,1
105,435.0,573.0,215.0,242.0,1
106,441.0,573.0,215.0,242.0,1
107,445.0,573.0,215.0,242.0,1
108,450.0,572.0,215.0,242.0,1
109,454.0,571.0,215.0,242.0,1
110,460.0,571.0,215.0,242.0,1
111,462.0,568.0,220.0,247.0,1
112,468.0,566.0,224.0,252.0,1
113,473.0,565.0,224.0,252.0,1
114,478.0,565.0,224.0,252.0,1
115,483.0,565.0,224.0,252.0,1
116,487.0,563.0,229.0,257.0,1
117,493.0,564.0,224.0,252.0,1
118,499.0,564.0,224.0,252.0,1
119,503.0,564.0,224.0,252.0,1
120,507.0,564.0,224.0,252.0,1
121,511.0,562.0,229.0,257.0,1
122,515.0,562.0,229.0,257.0,1
123,519.0,562.0,229.0,257.0,1
124,522.0,563.0,229.0,257.0,1
125,531.0,563.0,229.0,257.0,1
126,534.0,563.0,229.0,257.0,1
127,537.0,564.0,229.0,257.0,1
128,541.0,564.0,229.0,257.0,1
129,545.0,562.0,233.0,262.0,1
130,549.0,562.0,233.0,262.0,1
131,553.0,563.0,233.0,262.0,1
132,558.0,563.0,233.0,262.0,1
133,559.0,560.0,238.0,267.0,1
134,566.0,560.0,238.0,267.0,1
135,570.0,559.0,238.0,267.0,1
136,574.0,560.0,238.0,267.0,1
137,578.0,560.0,238.0,267.0,1
138,585.0,560.0,238.0,267.0,1
139,588.0,560.0,238.0,267.0,1
140,592.0,561.0,238.0,267.0,1
141,594.0,559.0,243.0,273.0,1
142,599.0,559.0,243.0,273.0,1
143,603.0,559.0,243.0,273.0,1
144,607.0,560.0,243.0,273.0,1
145,612.0,560.0,243.0,273.0,1
146,614.0,560.0,243.0,273.0,1
147,619.0,561.0,243.0,273.0,1
148,619.0,558.0,247.0,278.0,1
149,623.0,558.0,247.0,278.0,1
150,626.0,558.0,247.0,278.0,1
151,629.0,558.0,247.0,278.0,1
152,632.0,558.0,247.0,278.0,1
153,635.0,558.0,247.0,278.0,1
154,637.0,558.0,247.0,278.0,1
155,636.0,557.0,252.0,284.0,1
156,640.0,557.0,252.0,284.0,1
157,642.0,559.0,252.0,284.0,1
158,644.0,560.0,252.0,284.0,1
159,643.0,558.0,257.0,290.0,1
160,645.0,558.0,257.0,290.0,1
161,648.0,559.0,257.0,290.0,1
162,648.0,559.0,257.0,290.0,1
163,648.0,556.0,262.0,295.0,1
164,649.0,556.0,262.0,295.0,1
165,652.0,556.0,262.0,295.0,1
166,654.0,556.0,262.0,295.0,1
167,657.0,557.0,262.0,295.0,1
168,658.0,557.0,262.0,295.0,1
169,657.0,555.0,268.0,301.0,1
170,661.0,556.0,268.0,301.0,1
171,663.0,556.0,268.0,301.0,1
172,663.0,556.0,268.0,301.0,1
173,666.0,556.0,268.0,301.0,1
174,666.0,556.0,268.0,301.0,1
175,669.0,556.0,268.0,301.0,1
176,667.0,553.0,273.0,307.0,1
177,670.0,554.0,273.0,307.0,1
178,672.0,554.0,273.0,307.0,1
179,672.0,554.0,273.0,307.0,1
180,672.0,552.0,279.0,313.0,1
181,674.0,553.0,279.0,313.0,1
182,676.0,554.0,279.0,313.0,1
183,675.0,555.0,279.0,313.0,1
184,677.0,555.0,279.0,313.0,1
185,679.0,555.0,279.0,313.0,1
186,680.0,555.0,279.0,313.0,1
187,678.0,552.0,284.0,320.0,1
188,679.0,552.0,284.0,320.0,1
189,679.0,552.0,284.0,320.0,1
190,680.0,552.0,284.0,320.0,1
191,681.0,552.0,284.0,320.0,1
192,681.0,552.0,284.0,320.0,1
193,682.0,552.0,284.0,320.0,1
194,680.0,548.0,290.0,326.0,1
195,682.0,549.0,290.0,326.0,1
196,679.0,546.0,296.0,333.0,1
197,682.0,547.0,296.0,333.0,1
198,681.0,547.0,296.0,333.0,1
199,682.0,547.0,296.0,333.0,1
200,684.0,546.0,296.0,333.0,1
201,684.0,547.0,296.0,333.0,1
202,682.0,544.0,302.0,339.0,1
203,683.0,544.0,302.0,339.0,1
204,683.0,544.0,302.0,339.0,1
205,684.0,544.0,302.0,339.0,1
206,684.0,544.0,302.0,339.0,1
207,685.0,544.0,302.0,339.0,1
208,685.0,543.0,302.0,339.0,1
209,683.0,540.0,308.0,346.0,1
210,684.0,540.0,308.0,346.0,1
211,684.0,541.0,308.0,346.0,1
212,685.0,541.0,308.0,346.0,1
213,685.0,541.0,308.0,346.0,1
214,686.0,541.0,308.0,346.0,1
215,684.0,538.0,314.0,353.0,1
216,684.0,538.0,314.0,353.0,1
217,685.0,539.0,314.0,353.0,1
218,685.0,540.0,314.0,353.0,1
219,685.0,540.0,314.0,353.0,1
220,686.0,540.0,314.0,353.0,1
221,683.0,536.0,320.0,360.0,1
222,685.0,537.0,320.0,360.0,1
223,685.0,537.0,320.0,360.0,1
224,686.0,537.0,320.0,360.0,1
225,683.0,533.0,326.0,367.0,1
226,684.0,533.0,326.0,367.0,1
227,685.0,534.0,326.0,367.0,1
228,685.0,534.0,326.0,367.0,1
229,683.0,531.0,333.0,375.0,1
230,684.0,532.0,333.0,375.0,1
231,685.0,533.0,333.0,375.0,1
232,686.0,535.0,333.0,375.0,1
233,684.0,532.0,340.0,382.0,1
234,683.0,534.0,340.0,382.0,1
235,685.0,534.0,340.0,382.0,1
236,683.0,531.0,346.0,390.0,1
237,682.0,533.0,346.0,390.0,1
238,686.0,533.0,346.0,390.0,1
239,681.0,530.0,353.0,397.0,1
240,683.0,531.0,353.0,397.0,1
241,684.0,532.0,353.0,397.0,1
242,681.0,529.0,360.0,405.0,1
243,682.0,530.0,360.0,405.0,1
244,683.0,531.0,360.0,405.0,1
245,680.0,528.0,368.0,414.0,1
246,684.0,528.0,368.0,414.0,1
247,679.0,525.0,375.0,422.0,1
248,682.0,525.0,375.0,422.0,1
249,679.0,521.0,382.0,430.0,1
250,681.0,522.0,382.0,430.0,1
251,679.0,519.0,390.0,439.0,1
252,679.0,519.0,390.0,439.0,1
253,679.0,520.0,390.0,439.0,1
254,681.0,521.0,390.0,439.0,1
255,679.0,518.0,398.0,448.0,1
256,677.0,515.0,406.0,457.0,1
257,677.0,517.0,406.0,457.0,1
258,674.0,515.0,414.0,466.0,1
259,676.0,517.0,414.0,466.0,1
260,673.0,514.0,422.0,475.0,1
261,669.0,512.0,431.0,484.0,1
262,672.0,515.0,431.0,484.0,1
263,670.0,512.0,439.0,494.0,1
264,668.0,511.0,448.0,504.0,1
265,665.0,507.0,457.0,514.0,1
266,667.0,510.0,457.0,514.0,1
267,665.0,507.0,466.0,524.0,1
268,662.0,504.0,475.0,535.0,1
269,659.0,502.0,485.0,546.0,1
270,656.0,500.0,495.0,557.0,1
271,652.0,496.0,505.0,568.0,1
272,654.0,497.0,505.0,568.0,1
273,654.0,498.0,505.0,568.0,1
274,654.0,499.0,505.0,568.0,1
275,653.0,495.0,515.0,579.0,1
276,649.0,492.0,525.0,591.0,1
277,651.0,495.0,525.0,591.0,1
278,648.0,492.0,535.0,602.0,1
279,649.0,494.0,535.0,602.0,1
280,645.0,491.0,546.0,614.0,1
281,646.0,492.0,546.0,614.0,1
282,641.0,488.0,557.0,627.0,1
283,643.0,491.0,557.0,627.0,1
284,644.0,492.0,557.0,627.0,1
285,638.0,487.0,568.0,639.0,1
286,640.0,488.0,568.0,639.0,1
287,635.0,483.0,580.0,652.0,1
288,636.0,485.0,580.0,652.0,1
289,637.0,487.0,580.0,652.0,1
290,631.0,481.0,591.0,665.0,1
291,631.0,484.0,591.0,665.0,1
292,633.0,485.0,591.0,665.0,1
293,633.0,485.0,591.0,665.0,1
294,633.0,486.0,591.0,665.0,1
295,628.0,480.0,603.0,678.0,1
296,629.0,482.0,603.0,678.0,1
297,630.0,483.0,603.0,678.0,1
298,630.0,484.0,603.0,678.0,1
