frame_id,light_x_cam_m,light_y_cam_m,light_z_cam_m,x_m,y_m,original_depth_valid
0,35.58407885233561,-15.34771032333374,3.7402908563613892,-38.75279189862588,-1.7144580949773808e-15,1
1,35.496442794799805,-15.327152172724405,3.7377128700415296,-38.664179730217974,-0.01583034260351278,1
2,35.40506935119629,-15.352691507339477,3.73513488372167,-38.590392284911985,-0.07546906093113497,1
3,35.31369590759277,-15.33530920346578,3.7325568974018104,-38.499606093403365,-0.09569572934887796,0
4,35.16573499043783,-15.30138955116272,3.7256984392801926,-38.35030996124195,-0.12314824725406416,0
5,35.06188545227051,-15.288524357477824,3.7249686737855283,-38.249856775029265,-0.15246372381229345,0
6,35.009738032023115,-15.298343833287557,3.729894737402599,-38.20586223011404,-0.18213282493347244,1
7,34.98192888895671,-15.321659390131632,3.7370616813500726,-38.189560892938815,-0.21455550272752286,1
8,34.82375195821127,-15.289666732152302,3.7321304559707644,-38.031647253079925,-0.2478234141609818,1
9,34.691171646118164,-15.272734498977659,3.7282630364100138,-37.903201816098225,-0.28478297846530887,1
10,34.56582476298015,-15.260593652725218,3.726214909553528,-37.783295937394165,-0.3232774132883904,1
11,34.4578639348348,-15.255962181091308,3.7291070898373926,-37.68232852537051,-0.36178160335350856,1
12,34.44367872873942,-15.290436395009356,3.7418363451957704,-37.68295642223708,-0.39905488121795984,1
13,34.457177734375,-15.334366242090859,3.7547263304392495,-37.71274968852717,-0.43404653595908194,1
14,34.46617685953777,-15.375385300318397,3.767159795761108,-37.737258224719625,-0.46814754833807826,1
15,34.3717389424642,-15.37364560763041,3.7704433123270666,-37.64985325539293,-0.5039514314912104,1
16,34.281056722005204,-15.373288790384926,3.774661874771118,-37.56644456526564,-0.5395377046477267,1
17,34.20506439208984,-15.333384641011556,3.7802739461263015,-37.4808622311247,-0.532992521215145,1
18,34.13878046671549,-15.346625073750813,3.7894946018854774,-37.42524192622992,-0.5714014981029379,1
19,34.220353190104156,-15.419946161905923,3.8148331880569457,-37.52918285139978,-0.6064211389367098,1
20,34.08568623860676,-15.398173904418945,3.815535203615824,-37.39690454393508,-0.6397628304947904,1
21,33.91336975097656,-15.363559468587239,3.8097989797592158,-37.224969168673056,-0.6762231899371317,1
22,33.808772786458334,-15.358019828796387,3.815934014320373,-37.126730893869635,-0.7125612410555716,1
23,33.84683227539062,-15.416381454467775,3.836285901069641,-37.1847919797892,-0.7510776576936009,0
24,33.8494524637858,-15.45209706624349,3.8482936461766557,-37.20134278355308,-0.7828351954840155,1
25,33.79582252502441,-15.464067427317302,3.85151351292928,-37.156838781363604,-0.8150664484057856,1
26,33.70829798380534,-15.459767309824626,3.84701178073883,-37.074767865229155,-0.8457812827845069,1
27,33.56040852864584,-15.426852385203045,3.834838763872782,-36.92593526557237,-0.8741280725431465,1
28,33.30331535339356,-15.346683470408124,3.8100772460301715,-36.658113707607384,-0.9023339008398216,1
29,33.028010559082034,-15.254895687103273,3.7830028454462687,-36.36896809332744,-0.9270834599793611,1
30,32.93783461252848,-15.24666140874227,3.7724963347117106,-36.28290447962764,-0.9552358856987838,1
31,32.87192173004151,-15.250484625498455,3.765749343236288,-36.22389527093615,-0.9848507190380155,1
32,32.730073483785,-15.218905607859293,3.752502870559693,-36.08113898103192,-1.0120316133184069,1
33,32.66348756154378,-15.218876107533774,3.7491825024286913,-36.01998592975921,-1.038375307649677,1
34,32.40507589975993,-15.129314136505126,3.725628018379212,-35.747233655180786,-1.0584783002808624,1
35,32.345501263936356,-15.126299826304118,3.7285127401351934,-35.69133648771473,-1.07930448497154,1
36,32.27049694061279,-15.115379174550375,3.7340776364008588,-35.61814003873395,-1.0989816038805067,1
37,32.108192634582515,-15.063386122385662,3.7290747404098514,-35.44851552382157,-1.1155191118581531,1
38,31.838812891642256,-14.95731945037842,3.713506325085958,-35.1591554539647,-1.1248107634700597,1
39,31.624961853027347,-14.882101504007977,3.708767263094584,-34.933001026287265,-1.1404370558887609,1
40,31.471717071533206,-14.833127053578696,3.713939555486043,-34.772890753895524,-1.1561583956751462,1
41,31.375769297281902,-14.805313587188722,3.72671050230662,-34.67377309032296,-1.1686184544358953,1
42,31.209921010335286,-14.745303948720297,3.7314271211624144,-34.49771947627879,-1.1791984343142419,1
43,31.095231246948245,-14.70791006088257,3.74303974310557,-34.37759806271731,-1.1902840410810194,1
44,30.988044230143235,-14.675932534535727,3.753641502062479,-34.266511019481165,-1.2033717294892163,1
45,30.93970712025961,-14.66858803431193,3.7760237534840897,-34.21921758069379,-1.2157712667025211,1
46,30.774190584818527,-14.60599940617879,3.7869308312733967,-34.04244720501239,-1.2238517467293923,1
47,30.697321192423505,-14.58281265894572,3.8061662594477337,-33.9626803069712,-1.233004380848415,1
48,30.51192232767741,-14.507528781890867,3.813934071858724,-33.76262548306086,-1.2373018945192806,1
49,30.34091084798177,-14.437720012664792,3.8171333312988285,-33.577949995292755,-1.2409288307146351,1
50,30.30769017537435,-14.432930723826088,3.8357818603515628,-33.54554893230287,-1.2496879113282306,1
51,30.144739151000973,-14.366458988189697,3.836755212148031,-33.36959642128264,-1.253186746637718,1
52,29.934717814127602,-14.278781159718832,3.8304586092631023,-33.14202392152069,-1.255855248004369,1
53,29.836463483174644,-14.241862614949543,3.8358856042226157,-33.037182314198056,-1.2608682184712,1
54,29.711200777689616,-14.195117632548016,3.837858231862386,-32.90364905931048,-1.2675546677740552,1
55,29.530592155456546,-14.118788846333823,3.8355477492014565,-32.70757896518729,-1.2689955773406947,1
56,29.326862525939944,-14.03519941965739,3.8279275576273597,-32.4874028929621,-1.272926406077464,1
57,29.208308601379393,-13.992367426554361,3.832791837056478,-32.361579565567055,-1.2805489348656243,1
58,29.0529935836792,-13.929179922739662,3.830328607559204,-32.19393937699968,-1.2840392842230413,1
59,28.918782742818195,-13.873133945465087,3.8335917631785077,-32.04850607292244,-1.2857290884895927,1
60,28.675673611958818,-13.762734508514402,3.8195624987284345,-31.781552582514237,-1.2806380036243894,1
61,28.477690315246576,-13.671288776397704,3.807496658960978,-31.56354155841598,-1.2750791304439595,1
62,28.254053115844723,-13.567510382334392,3.7931981643040973,-31.317090038414033,-1.2683560121649482,1
63,28.043078740437824,-13.466445827484133,3.775118843714396,-31.0833407295695,-1.2591098269994043,1
64,27.931159083048502,-13.452295843760176,3.7844294230143234,-30.974968466328974,-1.290441668784682,1
65,27.688090260823568,-13.33704945246379,3.764929866790772,-30.706132393994473,-1.2808839882912488,1
66,27.544811248779297,-13.26405878067017,3.757047271728516,-30.54566159834884,-1.270605992079723,1
67,27.427562332153318,-13.200793393452965,3.7513904968897505,-30.412944101644936,-1.2589490740325775,1
68,27.339157485961913,-13.152251434326173,3.750965364774068,-30.312543259424668,-1.2493882420889257,1
69,27.197920227050776,-13.073354466756186,3.741878787676493,-30.15160813046803,-1.2328782734584225,1
70,27.09153861999511,-13.006689834594727,3.7367432514826455,-30.027523110485166,-1.213796153114457,1
71,26.960490036010736,-12.922103373209636,3.731642317771912,-29.87369028037074,-1.188026768314924,1
72,26.764399592081705,-12.801892026265461,3.71752253373464,-29.646024960862498,-1.1553047202795867,1
73,26.680601755777996,-12.731480884552003,3.7217005968093875,-29.541193323651253,-1.1238383241372625,1
74,26.561315790812177,-12.638516267140705,3.71952661673228,-29.394843217663922,-1.0857173587015183,1
75,26.397330093383793,-12.520596154530844,3.712964526812236,-29.19756494833105,-1.0423843877899583,1
76,26.313462320963545,-12.432102362314861,3.7160962978998824,-29.085507615102625,-0.9943416091314096,1
77,26.196558952331547,-12.323338031768799,3.713159163792928,-28.935087946205336,-0.9407692244031656,1
78,26.023843320210776,-12.183770593007406,3.6995682239532472,-28.72122032823405,-0.8810163874447262,1
79,25.853188769022623,-11.999588108062744,3.672526057561238,-28.491575856299445,-0.7794802849417432,1
80,25.681161562601726,-11.842528438568117,3.654204376538594,-28.271412725569945,-0.7033928654946079,1
81,25.519323921203615,-11.684550762176514,3.638336586952209,-28.060242417402076,-0.6224270124472809,1
82,25.41146278381348,-11.54201208750407,3.6279982805252073,-27.90474958162135,-0.5342608241586964,1
83,25.23380953470866,-11.358504613240559,3.6082156737645463,-27.668946008924266,-0.43611631269033124,1
84,25.11053403218587,-11.192016983032225,3.595093544324239,-27.4898144216738,-0.33206413835572035,1
85,24.96486981709798,-11.013362630208333,3.5788731972376504,-27.285306261551383,-0.22570693933543987,1
86,24.812276967366536,-10.82789478302002,3.5599213361740114,-27.071737576958665,-0.11583739354969112,1
87,24.696440124511717,-10.65471871693929,3.547173285484314,-26.896787512327748,-0.002697661751318727,1
88,24.543053817749026,-10.463766479492186,3.530238143603007,-26.680318203933474,0.11189358840181729,1
89,24.45927480061849,-10.297695795694985,3.523330577214559,-26.537618707228113,0.2312051526706043,1
90,24.364683278401692,-10.140458234151202,3.5127120018005376,-26.388489097496656,0.3381236559189662,1
91,24.16893056233724,-9.928681627909342,3.4910384019215908,-26.12487025639279,0.4550576689903718,1
92,24.008502896626794,-9.728345489501955,3.4758636871973674,-25.89821892894043,0.5754768536802316,1
93,23.94640394846599,-9.5813990910848,3.4786471923192344,-25.7830007883831,0.6858140797508682,1
94,23.808798027038577,-9.391106986999512,3.47416402498881,-25.581282985201618,0.8060488599466559,1
95,23.661131095886233,-9.194698429107666,3.4721504926681517,-25.367904465398805,0.9279153912662387,1
96,23.55309441884359,-9.0171417872111,3.4748386780420932,-25.198381878282312,1.0481666994725627,1
97,23.402797826131184,-8.822410202026369,3.4762948830922435,-24.98325286800757,1.1674519248264474,1
98,23.283233896891275,-8.64188315073649,3.483143885930379,-24.801969176420442,1.2858654907183973,1
99,23.152629788716634,-8.461916128794352,3.4849838654200234,-24.61076982687089,1.3993924513517368,1
100,23.04024626413981,-8.286822223663329,3.489664610226949,-24.438231168157778,1.5156608626241932,1
101,22.95189812978109,-8.124195448557535,3.4995709816614786,-24.292700089277776,1.6300005578573036,1
102,22.86176242828369,-7.962712287902831,3.5075589100519817,-24.145980526563626,1.7425821983517908,1
103,22.75414218902588,-7.7906653086344395,3.5130817651748663,-23.979022380771237,1.8579392810422477,1
104,22.64136714935303,-7.620762221018474,3.5186960220336916,-23.808179998798273,1.9692862579947255,1
105,22.514757855733237,-7.435477892557779,3.5255201180775964,-23.618542944841032,2.0892778550774063,1
106,22.448154894510903,-7.287741629282634,3.540084822972616,-23.49887625323687,2.1985565851697726,1
107,22.390010261535643,-7.144880390167237,3.5567579428354903,-23.388906986244297,2.3067087571430247,1
